,nct_id,start_date,phase,./eligibility/gender,./eligibility/minimum_age,./eligibility/maximum_age,./eligibility/criteria/textblock
2,NCT00022737,Oct-02,Phase 3,All,1 Year,21 Years,"['  Diagnosis of acute lymphoblastic leukemia', ""  Received prior front-line therapy on a Pediatric Oncology Group (POG),Children's\r\n             Cancer Group (CCG), or Central Oncology Group (COG) study"", '  Received induction therapy comprising vincristine, asparaginase,\r\n             prednisone/dexamethasone, and daunorubicin as in CCG, POG, or COG protocols', '  M1 or M2 bone marrow status after front-line induction therapy and presenting with at\r\n             least 1of the following:\r\n\r\n               -  Philadelphia chromosome positive (Ph+) with t(9;22)(q34;q11) by cytogenetics or\r\n                  fluorescence in situ hybridization\r\n\r\n               -  bcr-abl fusion transcript by reverse transcription polymerase chain reaction\r\n\r\n               -  Hypodiploid with less than 44 chromosomes and/or DNA index less than0.81\r\n\r\n               -  MLL translocation (11q23) by cytogenetics and a slow early response (SER) to\r\n                  induction therapy, defined as at least 5% blasts at day 15 of induction and/or at\r\n                  least .1% minimal residual disease (MRD) after induction therapy', '  Failed to achieve remission after front-line induction therapy\r\n\r\n               -  M3 bone marrow status (greater than 25% blasts) after induction therapy\r\n\r\n               -  M2 bone marrow status (5-25% blasts) or at least 1% MRD after induction therapy\r\n                  and M2 or M3or at least 1% MRD after consolidation therapy (CCG studies) or\r\n                  extended induction therapy (POG or COG studies)', '  See Disease Characteristics', '  Not pregnant or nursing', '  Negative pregnancy test', '  Fertile patients must use effective contraception', '  See Disease Characteristics', '  See Disease Characteristics', '  No concurrent prophylactic cranial radiotherapy\r\n      ']"
22,NCT00022126,Nov-02,Phase 2,All,N/A,1 Year,"['  Diagnosis of previously untreated acute lymphoblastic leukemia (ALL) or acute\r\n             undifferentiated leukemia\r\n\r\n               -  CNS or testicular disease allowed', '  No L3 sIg+ ALL or acute myelogenous leukemia', '  At least 36 weeks gestation for congenital ALL\r\n\r\n        ', 'Age:\r\n\r\n          -  Under 366 days at diagnosis\r\n\r\n        ', 'Performance status:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Life expectancy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hematopoietic:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hepatic:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Renal:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Biologic therapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Chemotherapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Endocrine therapy:\r\n\r\n          -  Steroid therapy within 48 hours of study allowed if complete blood counts and lumbar\r\n             puncture results known\r\n\r\n          -  No chronic steroid treatment for other disease\r\n\r\n        ', 'Radiotherapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Surgery:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Other:\r\n\r\n          -  No other concurrent cytotoxic therapy\r\n      ']"
196,NCT00042796,Dec-02,Phase 1,All,N/A,21 Years,"['  Histologically confirmed acute myeloid leukemia (AML) or acute lymphoblastic leukemia\r\n             that is considered refractory to conventional therapy or for which no conventional\r\n             therapy exists', '  For patients with AML:\r\n\r\n               -  M3 marrow\r\n\r\n               -  M2 marrow with at least 15% blasts\r\n\r\n               -  Secondary AML allowed', '  CNS involvement allowed', '  Performance status - Karnofsky 50-100% (age 17 to 21)', '  Performance status - Lansky 50-100% (age 16 and under)', '  At least 8 weeks', '  See Chemotherapy', '  WBC no greater than 30,000/mm^3', '  Patients with granulocytopenia, anemia, and/or thrombocytopenia are eligible but are\r\n             not evaluable for hematological toxicity', '  Bilirubin no greater than 1.5 times normal', '  ALT no greater than 5 times normal', '  Albumin at least 2 g/dL', '  Creatinine no greater than 1.5 times normal', '  Creatinine clearance or radioisotope glomerular filtration rate at least lower limit\r\n             of normal', '  Shortening fraction at least 27% by echocardiogram', '  Ejection fraction at least 50% by MUGA scan', '  No evidence of dyspnea at rest', '  No exercise intolerance', '  Oxygen saturation greater than 94% by pulse oximetry', '  Not pregnant or nursing', '  Negative pregnancy test', '  Fertile patients must use effective contraception', '  Concurrent seizure disorder allowed if well controlled on anticonvulsants', '  No grade 2 or greater CNS toxicity', '  No uncontrolled infection (i.e., infections associated with fever, dissemination,\r\n             hemodynamic instability [requiring pressor support], and progression while on therapy)', '  No active graft-versus-host disease (GVHD)\r\n\r\n               -  GVHD well controlled on cyclosporine allowed', '  Recovered from prior immunotherapy', '  At least 1 week since prior biologic agents', '  At least 6 months since prior allogeneic bone marrow transplantation (BMT)', '  At least 3 months since prior autologous BMT', '  No concurrent sargramostim (GM-CSF)', '  No concurrent prophylactic filgrastim (G-CSF) during the first course of therapy', '  Recovered from prior chemotherapy', '  At least 4 weeks since prior cytarabine', '  At least 24 hours since prior cytoreductive therapy with hydroxyurea (20-30 mg/kg/day\r\n             for no more than 7 days) to lower the WBC to no greater than 30,000/mm^3', '  No concurrent intrathecal therapy during the first course of decitabine', '  Recovered from prior radiotherapy', '  At least 2 weeks since prior local palliative radiotherapy (small port)', '  At least 6 weeks since prior cranial or craniospinal radiotherapy', '  No concurrent medications that induce cytidine deaminase or deoxycytidine kinase\r\n             (e.g., cytarabine)', '  No concurrent medications that mask poor or deteriorating organ function', '  No concurrent CNS prophylaxis during the first course of decitabine', '  Concurrent anticonvulsants with no known interactions with decitabine allowed', '  Concurrent antibacterial or antifungal therapies for controlled infections allowed\r\n      ']"
100,NCT00068302,Jan-03,Phase 1,All,N/A,21 Years,"[""  Histologically confirmed diagnosis of 1 of the following:\r\n\r\n               -  Acute lymphoblastic leukemia (ALL) OR acute myeloid leukemia (AML)\r\n\r\n                    -  At least 25% blasts in the bone marrow\r\n\r\n                    -  Recurrent or refractory disease\r\n\r\n               -  Non-Hodgkin's lymphoma (NHL)\r\n\r\n                    -  Second or greater relapse as determined by physical or radiological evidence"", '  Disease for which there is no known curative therapy\r\n\r\n        ', 'Age\r\n\r\n          -  21 and under\r\n\r\n        ', 'Performance status\r\n\r\n          -  Karnofsky 50-100% (patients over 10 years of age)\r\n\r\n          -  Lansky 50-100% (patients 10 years of age and under)\r\n\r\n        ', 'Life expectancy\r\n\r\n          -  At least 4 weeks\r\n\r\n        ', 'Hematopoietic\r\n\r\n          -  Absolute neutrophil count at least 1,000/mm^3*\r\n\r\n          -  Platelet count at least 75,000/mm^3 (transfusion independent)*\r\n\r\n          -  Hemoglobin at least 8.0 g/dL (may receive red blood cells (RBC) transfusions)* NOTE:\r\n             *Patients with ALL, AML, and NHL with tumor metastatic to bone marrow, with\r\n             granulocytopenia, anemia, and/or thrombocytopenia are eligible, but will not be\r\n             evaluable for hematological toxicity\r\n\r\n        ', 'Hepatic\r\n\r\n          -  Bilirubin no greater than 1.5 times normal\r\n\r\n          -  alanine aminotransferase (ALT) no greater than 5 times normal\r\n\r\n          -  Albumin at least 2 g/dL\r\n\r\n        ', 'Renal\r\n\r\n          -  Creatinine based on age, as follows:\r\n\r\n               -  No greater than 0.8 mg/dL (5 years of age and under)\r\n\r\n               -  No greater than 1.0 mg/dL (6 to 10 years of age)\r\n\r\n               -  No greater than 1.2 mg/dL (11 to 15 years of age)\r\n\r\n               -  No greater than 1.5 mg/dL (over 15 years of age) OR\r\n\r\n          -  Creatinine clearance or radioisotope glomerular filtration rate at least 70 mL/min\r\n\r\n        ', 'Cardiovascular\r\n\r\n          -  Shortening fraction at least 28% by echocardiogram OR\r\n\r\n          -  Ejection fraction at least 50% by gated radionuclide\r\n\r\n        ', 'Other\r\n\r\n          -  Not pregnant or nursing\r\n\r\n          -  Negative pregnancy test\r\n\r\n          -  Fertile patients must use effective contraception\r\n\r\n          -  Able to ingest oral medication\r\n\r\n          -  No known allergy to sirolimus, tacrolimus, or other mammalian target of rapamycin\r\n             (mTOR) inhibitors\r\n\r\n          -  No uncontrolled active infection\r\n\r\n               -  Fungal disease must be stable for at least 2 weeks prior to study entry\r\n\r\n               -  Documented negative blood cultures prior to study entry for patients with\r\n                  bacteremia\r\n\r\n          -  No active graft-versus-host disease\r\n\r\n        ', 'Biologic therapy\r\n\r\n          -  Recovered from prior immunotherapy\r\n\r\n          -  More than 1 week since prior hematopoietic growth factors except for epoetin alfa\r\n\r\n          -  At least 7 days since prior biologic antineoplastic agents\r\n\r\n          -  At least 3 months since prior bone marrow or stem cell transplantation\r\n\r\n        ', 'Chemotherapy\r\n\r\n          -  Recovered from all prior chemotherapy\r\n\r\n          -  More than 2 weeks since prior myelosuppressive chemotherapy (4 weeks for nitrosoureas)\r\n\r\n          -  Prior hydroxyurea within the past 2 weeks is allowed provided peripheral blast count\r\n             has been stable or rising for at least 3 days\r\n\r\n        ', 'Endocrine therapy\r\n\r\n          -  Prior corticosteroids within the past 2 weeks are allowed provided peripheral blast\r\n             count has been stable or rising for at least 3 days\r\n\r\n        ', 'Radiotherapy\r\n\r\n          -  Recovered from prior radiotherapy\r\n\r\n          -  At least 2 weeks since prior local palliative radiotherapy\r\n\r\n          -  At least 4 weeks since prior craniospinal radiotherapy or radiation to the pelvis of\r\n             50% or more\r\n\r\n          -  At least 4 weeks since prior substantial bone marrow radiotherapy\r\n\r\n          -  No concurrent radiotherapy, except for emergent situations or persistent\r\n             extramedullary disease with resolution of bone marrow disease\r\n\r\n        ', 'Surgery\r\n\r\n          -  Not specified\r\n\r\n        ', 'Other\r\n\r\n          -  No other concurrent investigational antineoplastic drugs\r\n\r\n          -  No concurrent administration of any of the following:\r\n\r\n               -  Ketoconazole\r\n\r\n               -  Tacrolimus\r\n\r\n               -  Cyclosporine\r\n\r\n               -  Rifampin\r\n\r\n               -  Diltiazem\r\n      ']"
154,NCT00054431,Jan-03,Phase 2,All,N/A,N/A,"['  Histologically confirmed chronic myelogenous leukemia\r\n\r\n               -  Philadelphia chromosome positive by cytogenetics OR fluorescent in situ\r\n                  hybridization\r\n\r\n               -  Accelerated or non-lymphoid blastic phase', '  Performance status - ECOG 0-2', '  Bilirubin no greater than 2 times upper limit of normal (ULN)', '  AST no greater than 2 times ULN', '  Creatinine less than 2.0 mg/dL', '  Normal cardiac function', '  No New York Heart Association class III or IV heart disease', '  Not pregnant or nursing', '  Negative pregnancy test', '  Fertile patients must use effective contraception', '  No prior decitabine', '  At least 2 weeks since other prior chemotherapy (unless there is evidence of rapidly\r\n             progressive disease) and recovered', '  Concurrent hydroxyurea allowed during the first 2 courses of study therapy in patients\r\n             with rapidly progressing disease', '  Prior imatinib mesylate allowed\r\n\r\n               -  Patients who received at least 4 weeks of prior imatinib mesylate must have\r\n                  failed therapy, as evidenced by resistance after 8 weeks or disease progression', '  No concurrent grapefruit or grapefruit juice\r\n      ']"
134,NCT00070421,Apr-03,Phase 1/Phase 2,All,10 Years,15 Years,"['  Diagnosis of cancer', '  Currently receiving treatment for cancer\r\n\r\n        ', 'Age\r\n\r\n          -  10 to 15\r\n\r\n        ', 'Performance status\r\n\r\n          -  Active\r\n\r\n        ', 'Life expectancy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hematopoietic\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hepatic\r\n\r\n          -  Not specified\r\n\r\n        ', 'Renal\r\n\r\n          -  Not specified\r\n\r\n        ', 'Other\r\n\r\n          -  Able to read and speak English\r\n\r\n        ', 'Biologic therapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Chemotherapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Endocrine therapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Radiotherapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Surgery\r\n\r\n          -  Not specified\r\n      ']"
5,NCT00119366,May-03,Phase 2,All,16 Years,50 Years,"['\n        Inclusion Criteria:', '          -  Patients with advanced AML defined as beyond first remission, primary refractory\r\n             disease, or evolved from myelodysplastic or myeloproliferative syndromes; or patients\r\n             with MDS expressed as refractory anemia with excess blasts (RAEB), refractory anemia\r\n             with excess blasts in transformation (RAEBT), refractory cytopenia with multilineage\r\n             dysplasia (RCMD), RCMD with ringed sideroblasts (RCMD-RS), or chronic myelomonocytic\r\n             leukemia (CMML)', '          -  Patients not in remission must have CD45-expressing leukemic blasts or myelodysplastic\r\n             cells; patients in remission do not require phenotyping and may have leukemia\r\n             previously documented to be CD45 negative (because in remission patients, virtually\r\n             all antibody binding is to non-malignant cells which make up >= 95% of nucleated cells\r\n             in the marrow)', '          -  Patients should have a circulating blast count of less than 10,000/mm^3 (control with\r\n             hydroxyurea or similar agent is allowed)', '          -  Patients must have an estimated creatinine clearance greater than 50/ml per minute\r\n             (serum creatinine value must be within 28 days prior to registration)', '          -  Bilirubin < 2 times the upper limit of normal', '          -  Aspartate aminotransferase (AST) and alanine aminotransferase (ALT) < 2 times the\r\n             upper limit of normal', '          -  Karnofsky score >= 70 or Eastern Cooperative Oncology Group (ECOG) =< 2', '          -  Patients must have an expected survival of > 60 days and must be free of active\r\n             infection', '          -  Patients must have an HLA-identical sibling donor or an HLA-matched unrelated donor\r\n             who meets standard Seattle Cancer Care Alliance (SCCA) and/or National Marrow Donor\r\n             Program (NMDP) or other donor center criteria for peripheral blood stem cell (PBSC)\r\n             donation; related donors should be matched by molecular methods at the intermediate\r\n             resolution level at HLA-A, B, C, and developmentally regulated RNA binding protein 1\r\n             (DRB1) according to Fred Hutchinson Cancer Research Center (FHCRC) Standard Practice\r\n             Guidelines and to the allele level at DQB1; unrelated donors should be identified\r\n             using matching criteria that follows the FHCRC Standard Practice Guidelines limiting\r\n             the study to eligible donors that are allele matched for HLA-A, B, C, DRB1, and DQB1\r\n             (grade 1), and accepting up to one allele mismatch as per Standard Practice grade 2.1\r\n             for HLA-A, B, or C', '          -  DONOR: Donors must meet HLA matching criteria as well as standard SCCA and/or NMDP or\r\n             other donor center criteria for PBSC donation', '        Exclusion Criteria:', '          -  Circulating antibody against mouse immunoglobulin (human anti-mouse antibody [HAMA])', '          -  Prior radiation to maximally tolerated levels to any normal organ', '          -  Patients may not have symptomatic coronary artery disease and may not be on cardiac\r\n             medications for anti-arrhythmic or inotropic effects', '          -  Inability to understand or give an informed consent', '          -  Patients who are seropositive for human immunodeficiency virus (HIV)', '          -  Perceived inability to tolerate diagnostic or therapeutic procedures, particularly\r\n             treatment in radiation isolation', '          -  Patients who have previously undergone autologous or allogeneic HSCT\r\n      ']"
47,NCT00416884,May-03,Phase 2,All,4 Years,75 Years,"['\n        Inclusion criteria:', '          -  Patients aged 4-75 with chronic myelogenous leukemia (CML) treatable by allogeneic\r\n             hematopoietic stem cell transplant.', '          -  Patients with cytogenetically confirmed chronic phase CML.', '             o Hematologic parameters for chronic phase are: i) Percentage of blasts in peripheral\r\n             blood or marrow < 15% ii) Percentage of blasts + promyelocytes in the peripheral blood\r\n             or bone marrow < 30% iii) Percentage of basophils in blood or marrow <20% iv) Platelet\r\n             count > 100 x 109/l', '          -  Patients must have demonstrated refractoriness/resistance to STI571 defined as\r\n             follows:', '             i) Hematologically resistant- failure to achieve a complete hematologic remission\r\n             (CHR) despite 3 months of STI571 therapy.', '        ii) Hematologically refractory - a rising WBC count > 20 x 109/l confirmed by two samples\r\n        taken two weeks apart in a patient with a previous CHR despite concurrent treatment with\r\n        STI571 iii) Cytogenetically resistant - bone marrow cytogenetics showing > 65% Philadelphia\r\n        chromosome positivity (Ph+) after 6 months of STI571 based therapy.', '        iv) Cytogenetically refractory - An increase in the number of Philadelphia chromosome\r\n        positive (Ph+) bone marrow cells by at least 30%, or an increase to > 65%, confirmed by\r\n        samples at least 1 month apart following a previous STI571 induced cytogenetic response,\r\n        while continuing STI571 therapy.', '          -  Eastern Cooperative Oncology Group (ECOG) performance status 0-2.', '          -  Patients with a human leukocyte antigen (HLA) matched sibling donor at the HLA-A, B,\r\n             and DR loci.', '          -  Patients with an unrelated hematopoietic stem cell donor must be matched using high\r\n             resolution typing for class II human leukocyte antigen (HLA-DR beta-1, 3, 4, 5 and DQ\r\n             beta-1) and matched with intermediate to high resolution molecular typing at class I\r\n             human leukocyte antigen (HLA-A, B, and C) loci.', '          -  Patients with accelerated or blast crisis of CML who have returned to chronic phase as\r\n             described above are eligible.', '          -  Written informed, voluntary consent.', '        Exclusion criteria:', '          -  Patients who have received another investigational drug within 30 days.', '          -  Fertile men unwilling to use contraceptive techniques during and for 24 months\r\n             following treatment.', '          -  Females who are pregnant or fertile women unwilling to use contraceptive techniques\r\n             for two months prior to entering the study and for 24 months following treatment.', '          -  Patients with active bacterial or fungal infections unresponsive to medical therapy.', '          -  Patients with organ dysfunction including cardiac ejection fraction of less than 35%\r\n             or pulmonary status with a diffusing capacity of the lung for carbon monoxide(DLCO) of\r\n             less than 40% and/or receiving supplemental oxygen.', '          -  Liver Function Abnormalities: patients will be excluded if they are found to have\r\n             fulminant liver failure, cirrhosis of the liver with evidence of portal hypertension,\r\n             alcoholic hepatitis, varices, history of bleeding varices, hepatic encephalopathy or\r\n             chronic viral hepatitis where the total serum bilirubin is greater than 3 mg per\r\n             deciliter with symptomatic biliary disease.', '          -  Patients with a history of non-compliance to medical regimens or who are considered\r\n             potentially unreliable.', '          -  Patients with a history of any prior bone marrow or peripheral blood stem cell\r\n             transplantation.', '          -  Patients with any other serious, uncontrolled, concomitant medical condition', '          -  HIV positive patients', '        Eligibility criteria for donors:', '        Inclusion Criteria for Donors:', '          -  Sibling donors are permitted if matched at class I human leukocyte antigen (HLA-A, B),\r\n             and class II human leukocyte antigen (DR) loci.', '          -  Unrelated donors must be matched for class II human leukocyte antigen(HLA-DR\r\n             beta-1,2,3,4,5) and class II human leukocyte antigen (DQ beta-1) with high resolution\r\n             typing and with intermediate resolution molecular typing at class I human leukocyte\r\n             antigen(HLA-A, B, and C) loci.', '          -  Donors must be eligible to serve as a peripheral stem cell allograft donor. Bone\r\n             marrow donors will not be permitted on this protocol.', '          -  Donors must be >18 and < 75 years of age.', '        Exclusions Criteria for Donors:', '          -  Volunteer donors who wish to serve as bone marrow donors only and refuse exogenous\r\n             cytokines.', '          -  Donors who are Human immunodeficiency virus (HIV+), Human T-lymphotropic virus\r\n             (HTLV-1+), or hepatitis Bs Ag+..', '          -  Donors with medical conditions that would result in increased risk for Granulocyte\r\n             colony-stimulating factor (G-CSF) mobilization and harvest of peripheral blood stem\r\n             cells (PBSC) including renal insufficiency with Cr > 2.0, idiopathic splenomegaly,\r\n             underlying coagulopathy, uncontrolled coronary artery disease, and major surgery\r\n             within 28 days.\r\n      ']"
210,NCT00061945,Jun-03,Phase 1/Phase 2,All,15 Years,N/A,"['  Unequivocal histologic diagnosis of precursor B or precursor T lymphoblastic leukemia\r\n             (World Health Organization [WHO] classification), L1 or L2 ALL or acute\r\n             undifferentiated leukemia (AUL) (French-American-British Cooperative group [FAB]\r\n             Classification); Burkitt-type ALL (FAB L3, surface immunoglobulin [SIg]+) are excluded', '  No prior treatment for leukemia with three permissible exceptions:\r\n\r\n               -  Emergency leukapheresis II. Emergency treatment for hyperleukocytosis with\r\n                  hydroxyurea III. Cranial radiation therapy (RT) for central nervous system (CNS)\r\n                  leukostasis (one dose only)', '  All patients must have a pre-treatment bone marrow or peripheral blood sample\r\n             submitted for central immunophenotyping; only those patients who express CD52 >= 10%\r\n             in the leukemia blast cell channel will be eligible to receive Campath-1H during\r\n             module D, course IV\r\n      ']"
17,NCT00084695,Sep-03,Phase 2,All,N/A,21 Years,"[""  Diagnosis of malignant or non-malignant disease, including but not limited to any of\r\n             the following:\r\n\r\n               -  Acute myeloid leukemia or acute lymphoblastic leukemia (ALL) with resistant\r\n                  disease beyond first clinical remission (CR)\r\n\r\n               -  ALL in first CR at high-risk because of 1 of the following factors:\r\n\r\n                    -  Hypoploidy\r\n\r\n                    -  Pseudodiploidy with translocations t(9;22), t(4;11), or t(8;14)\r\n\r\n                    -  Elevated WBC at diagnosis as follows:\r\n\r\n                         -  > 100,000/mm^3 for patients 6-12 months of age\r\n\r\n                         -  > 50,000/mm^3 for patients 10-20 years of age\r\n\r\n                         -  > 20,000/mm^3 for patients 21 years of age\r\n\r\n                    -  Burkitt's lymphoma/leukemia\r\n\r\n               -  Chronic myelogenous leukemia in first chronic phase or beyond\r\n\r\n               -  Juvenile myelomonocytic leukemia\r\n\r\n               -  Advanced stage or relapsed lymphoma\r\n\r\n               -  Advanced stage or relapsed solid tumors, including any of the following:\r\n\r\n                    -  Neuroblastoma\r\n\r\n                    -  Ewing's sarcoma\r\n\r\n                    -  Rhabdomyosarcoma\r\n\r\n               -  Myelodysplastic syndromes, excluding patients with grade 3 or 4 myelofibrosis\r\n\r\n               -  Familial erythrophagocytic histiocytosis\r\n\r\n               -  Histiocytosis unresponsive to medical management\r\n\r\n               -  Inborn errors of metabolism\r\n\r\n               -  Langerhans cell histiocytosis unresponsive to medical management\r\n\r\n               -  Immune deficiencies, including:\r\n\r\n                    -  Severe combined immune deficiency\r\n\r\n                    -  Wiskott-Aldrich\r\n\r\n               -  Hemoglobinopathies, including sickle cell disease and thalassemia\r\n\r\n               -  Severe aplastic anemia\r\n\r\n               -  Fanconi's anemia\r\n\r\n               -  Metabolic storage diseases"", '  Unrelated cord blood donor must be HLA-identical OR may be mismatched for 1, 2, or 3\r\n             HLA-loci (A, B, DR)', '  No other existing HLA-identical related donor available at the time of transplantation\r\n\r\n        ', 'Age\r\n\r\n          -  21 and under\r\n\r\n        ', 'Performance status\r\n\r\n          -  Not specified\r\n\r\n        ', 'Life expectancy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hematopoietic\r\n\r\n          -  See Disease Characteristics\r\n\r\n        ', 'Hepatic\r\n\r\n          -  Not specified\r\n\r\n        ', 'Renal\r\n\r\n          -  Not specified\r\n\r\n        ', 'Biologic therapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Chemotherapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Endocrine therapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Radiotherapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Surgery\r\n\r\n          -  Not specified\r\n      ']"
